grid_id,grid_row,grid_col,lon,lat,lowlying_area_km2,lowlying_sample_count,mean_elevation_m,min_elevation_m,mean_coast_distance_km,tc_landfall_count,tc_landfall_per_year,tc_landfall_max_wind_ms,tc_landfall_mean_wind_ms,nearest_landfall_km,impact_min_wind_ms,score_lowland_area,score_landfall,score_wind,screen_score,rank_grid,low_elevation_threshold_m,coast_buffer_km,osm_coast_distance_km,osm_coast_within_inland_cap,osm_coast_contact_cell,ocean_connected_cell,ocean_sample_count,landcover_sample_count,population_sum_2020,population_density_per_lowland_km2,estuary_proxy_id,model_domain_id
LLC_443_0300,443,300,-105.125,20.625,34.6185885164854,43,6.39747590497491,2.3199999332428,3.66383490111088,8,0.195121951219512,77.1,46.1058,35.5993736068754,33,0.508257365058669,0.373114300021637,0.80952380952381,0.499390105713627,2253,10,200,11.1662454605103,1,1,1,0,0,0,0,,GTC_0038
LLC_427_1045,427,1045,81.125,16.625,545.09651186421,661,4.0195439725174,1,38.9073195133392,2,0.0487804878048781,59.11,46.6026666666667,53.8485062615434,33,0.950975856676406,0,0.476190476190476,0.499367706932954,2254,10,200,26.0166530609131,1,1,1,0,0,39741.2253806591,72.9067688302491,,GTC_0049
LLC_402_1040,402,1040,79.875,10.375,297.100089690419,351,3.36895535818626,-1,5.28297184452915,5,0.121951219512195,41.12,35.5802222222222,21.1165376649178,33,0.852802241298651,0.235408913366638,0.142857142857143,0.49935314535962,2255,10,200,0.379667282104492,1,1,1,0,0,0,0,,GTC_0065
LLC_424_1100,424,1100,94.875,15.875,544.626192800761,658,2.22104507581315,0,4.55725345314729,2,0.0487804878048781,59.11,49.6377142857143,26.2719106484275,33,0.950836127621915,0,0.476190476190476,0.499304828858433,2256,10,200,4.68644571304321,1,1,1,0,0,0,0,,GTC_0066
LLC_429_1107,429,1107,96.625,17.125,729.465285638238,887,5.53152259074625,2.5,27.2033905093586,2,0.0487804878048781,51.4,42.662,19.6397775485881,33,0.998149482506435,0,0.333333333333333,0.499167267127896,2257,10,200,19.6593132019043,1,1,1,0,0,0,0,,GTC_0066
LLC_398_1225,398,1225,126.125,9.375,13.5889146048333,16,3.83054715214492,0,1.3219720970256,11,0.268292682926829,86.352,52.0349411764706,40.6121035491397,33,0.363501520991632,0.470817826733276,0.980952380952381,0.499045672282402,2258,10,200,7.81478786468506,1,1,1,0,0,0,0,EST_0097,GTC_0023
LLC_507_1267,507,1267,136.625,36.625,141.598399912429,205,3.4036027141457,-2.65000009536743,3.78501154154532,7,0.170731707317073,46.26,37.4285454545455,48.5635093963836,33,0.733216931544036,0.333112440078278,0.238095238095238,0.498906880940413,2259,10,200,1.47376418113708,1,1,1,0,0,0,0,EST_0114,GTC_0061
LLC_409_1202,409,1202,120.375,12.125,10.9404836549466,13,6.7092787233836,2.34999990463257,1.49821405830093,16,0.390243902439024,74.53,44.0216129032258,32.9633044357052,33,0.33101398982186,0.589110885863617,0.761904761904762,0.498886364050998,2260,10,200,4.41631174087524,1,1,1,0,0,0,0,EST_0092,GTC_0077
LLC_434_0456,434,456,-66.125,18.375,97.9683758687947,120,4.14069101661918,0,2.23578937262946,5,0.121951219512195,69.904,50.372,3.83244813769199,33,0.673986460212328,0.235408913366638,0.676190476190476,0.498886043870774,2261,10,200,6.11042070388794,1,1,1,0,0,0,0,EST_0050,GTC_0073
LLC_460_0998,460,998,69.375,24.875,595.611912400481,763,7.75453362901119,4.40000009536743,122.807204404569,2,0.0487804878048781,56.54,47.802,8.05980053114166,33,0.965323414034522,0,0.428571428571429,0.498681250601249,2262,10,200,77.4802627563477,1,0,0,0,0,2515.72320586443,4.22376240885675,EST_0068,GTC_0076
LLC_498_1245,498,1245,131.125,34.375,14.9153306932212,21,3.89825970766226,0.759999990463257,1.65008500267494,20,0.48780487804878,56.54,42.73396,22.2784819287475,33,0.377613888950034,0.660876371636064,0.428571428571429,0.498562512967655,2263,10,200,1.80529832839966,1,1,1,0,0,0,0,,GTC_0011
LLC_499_1228,499,1228,126.875,34.625,53.8434565666691,76,4.0712312482914,-0.150000005960464,2.13317192039844,11,0.268292682926829,51.4,38.9732941176471,44.2363867814004,33,0.57825336474306,0.470817826733276,0.333333333333333,0.498541144827688,2264,10,200,5.5091290473938,1,1,1,0,0,0,0,EST_0103,GTC_0045
LLC_505_1227,505,1227,126.625,36.125,102.213647905592,147,4.72741341657593,-1,2.62320873332516,8,0.195121951219512,48.83,37.4706,123.072162730689,33,0.68079781145353,0.373114300021637,0.285714285714286,0.498461878019886,2265,10,200,2.18014788627625,1,1,1,0,0,0,0,EST_0103,GTC_0045
LLC_408_1040,408,1040,79.875,11.875,154.961869644563,184,5.4628453138835,0,3.77133073348048,7,0.170731707317073,43.69,36.8103076923077,28.4799289483402,33,0.747744199666906,0.333112440078278,0.19047619047619,0.498301294452847,2267,10,200,5.49629831314087,1,1,1,0,0,19684.1360801458,127.025674930842,,GTC_0065
LLC_434_0338,434,338,-95.625,18.375,719.483945543847,881,3.78415607282502,-0.5,37.350101443243,2,0.0487804878048781,51.4,43.0475,61.2345564150667,33,0.995918223732334,0,0.333333333333333,0.49816320067955,2268,10,200,38.7471084594727,1,0,0,0,0,0,0,,GTC_0054
LLC_427_1107,427,1107,96.625,16.625,535.910752486469,650,3.89905704056,1.5,8.65254300017221,2,0.0487804878048781,59.11,44.4895555555556,36.2361784853506,33,0.948224793503142,0,0.476190476190476,0.498129728504985,2269,10,200,7.86705160140991,1,1,1,0,0,0,0,,GTC_0066
LLC_427_1050,427,1050,82.375,16.625,146.746426568945,178,2.75518430412106,0,4.12117353695387,5,0.121951219512195,59.11,51.3209230769231,15.7161177946016,33,0.738968398987971,0.235408913366638,0.476190476190476,0.498127916319814,2270,10,200,6.36010456085205,1,1,1,0,0,0,0,,GTC_0049
